City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
214,Fare,PF,2021-04-01 14:18:25,-16.7,-151.0167,80.73,74,88,2.33
215,Swedru,GH,2021-04-01 14:18:25,5.5371,-0.6998,89.6,62,20,9.22
216,Lorengau,PG,2021-04-01 14:18:25,-2.0226,147.2712,82.47,75,100,4.85
217,Port Hawkesbury,CA,2021-04-01 14:18:26,45.6169,-61.3485,50.0,81,90,12.66
218,La Ciotat,FR,2021-04-01 14:18:26,43.1748,5.6045,72.0,27,4,5.99
219,Castro,BR,2021-04-01 14:16:13,-24.7911,-50.0119,66.78,49,54,2.95
220,Lavumisa,SZ,2021-04-01 14:18:26,-27.31,31.892,86.5,48,10,10.76
221,Birnin Kebbi,NG,2021-04-01 14:18:27,12.4539,4.1975,100.67,5,8,10.22
222,Saint-Augustin,CA,2021-04-01 14:18:27,51.226,-58.6502,33.01,99,100,8.37
223,Pincher Creek,CA,2021-04-01 14:15:04,49.4833,-113.952,44.6,36,1,20.71
224,Hamilton,US,2021-04-01 14:17:59,39.1834,-84.5333,36.0,55,40,10.36
225,Smolensk,RU,2021-04-01 14:18:28,55.0,33.0,49.84,83,100,9.82
226,North Bend,US,2021-04-01 14:18:28,43.4065,-124.2243,42.01,100,1,4.61
227,Abancay,PE,2021-04-01 14:18:28,-13.6339,-72.8814,50.0,66,75,8.05
228,Aklavik,CA,2021-04-01 14:18:28,68.2191,-135.0107,-11.2,70,75,12.66
229,Tazovskiy,RU,2021-04-01 14:18:29,67.4667,78.7,6.49,87,100,21.41
230,Namatanai,PG,2021-04-01 14:18:29,-3.6667,152.4333,80.04,82,86,7.4
231,Svetlaya,RU,2021-04-01 14:18:29,46.5389,138.3297,34.65,82,4,6.55
232,Gilgit,PK,2021-04-01 14:18:30,35.9221,74.3087,47.5,39,2,4.41
233,Gat,IL,2021-04-01 14:18:30,31.61,34.7642,66.99,48,72,1.99
234,Nemuro,JP,2021-04-01 14:18:30,43.3236,145.575,35.33,90,78,3.06
235,Conceicao Da Barra,BR,2021-04-01 14:18:30,-18.5933,-39.7322,85.57,64,51,7.0
236,Tutoia,BR,2021-04-01 14:18:31,-2.7619,-42.2744,87.8,70,40,16.11
237,Agapovka,RU,2021-04-01 14:18:31,53.2973,59.1348,35.6,60,20,22.37
238,Krasnyy Oktyabr,RU,2021-04-01 14:18:31,56.1167,38.8833,39.99,99,100,4.21
239,Vyselki,RU,2021-04-01 14:18:32,45.5794,39.6597,57.38,60,88,9.26
240,Millerovo,RU,2021-04-01 14:18:32,48.9226,40.3967,55.4,42,3,10.36
241,Asau,RO,2021-04-01 14:18:32,46.4333,26.4,63.0,39,0,14.97
242,Muncar,ID,2021-04-01 14:18:33,-8.4333,114.3333,76.62,90,100,2.46
243,Bud,US,2021-04-01 14:18:33,39.447,-86.1758,35.01,74,25,14.52
244,Qaanaaq,GL,2021-04-01 14:15:14,77.484,-69.3632,2.34,83,100,3.49
245,Petawawa,CA,2021-04-01 14:18:33,45.9001,-77.3328,25.0,58,90,12.66
246,Ochakiv,UA,2021-04-01 14:18:33,46.6128,31.5498,60.8,51,0,2.24
247,Dymytrove,UA,2021-04-01 14:18:34,48.6077,32.9835,60.8,36,0,8.95
248,Urengoy,RU,2021-04-01 14:18:34,65.9667,78.3667,17.29,93,100,20.42
249,Dezhou,CN,2021-04-01 14:18:34,37.4486,116.2925,60.64,32,99,7.52
250,Paamiut,GL,2021-04-01 14:18:35,61.994,-49.6678,35.47,89,100,42.3
251,Dikson,RU,2021-04-01 14:18:35,73.5069,80.5464,-4.07,69,100,12.5
252,Matara,LK,2021-04-01 14:18:35,5.9485,80.5353,80.69,83,46,9.64
253,Kattivakkam,IN,2021-04-01 14:18:36,13.2167,80.3167,86.0,79,20,11.5
254,Pedro Juan Caballero,PY,2021-04-01 14:18:36,-22.5472,-55.7333,73.4,49,0,4.61
255,Mosjoen,NO,2021-04-01 14:18:36,65.836,13.1908,37.4,93,75,6.91
256,Poum,NC,2021-04-01 14:18:36,-20.2333,164.0167,74.17,86,100,9.86
257,Pochutla,MX,2021-04-01 14:18:37,15.7432,-96.4661,80.01,65,1,1.36
258,Kayerkan,RU,2021-04-01 14:18:37,69.3497,87.7602,-15.34,92,9,5.57
259,Verkhoyansk,RU,2021-04-01 14:18:38,67.5447,133.385,3.87,99,99,1.72
260,Torbay,CA,2021-04-01 14:18:38,47.6666,-52.7314,44.01,45,75,2.3
261,San Policarpo,PH,2021-04-01 14:18:38,12.1791,125.5072,80.37,75,41,10.47
262,Copiapo,CL,2021-04-01 14:18:38,-27.3667,-70.3333,62.6,67,75,6.91
263,Maceio,BR,2021-04-01 14:17:00,-9.6658,-35.7353,87.8,62,75,11.5
264,Alcacer Do Sal,PT,2021-04-01 14:18:39,38.3733,-8.5144,66.0,88,75,12.66
265,Vagur,FO,2021-04-01 14:18:39,61.4732,-6.8119,44.15,86,24,22.68
266,Bonthe,SL,2021-04-01 14:18:39,7.5264,-12.505,87.71,59,98,13.91
267,Arraial Do Cabo,BR,2021-04-01 14:18:40,-22.9661,-42.0278,82.4,54,0,21.85
268,Broome,US,2021-04-01 14:18:40,42.2506,-75.833,34.0,80,75,12.66
269,Florianopolis,BR,2021-04-01 14:15:11,-27.6146,-48.5012,77.0,64,75,17.27
270,Sibolga,ID,2021-04-01 14:18:40,1.7427,98.7792,77.94,83,80,4.16
271,Deputatskiy,RU,2021-04-01 14:18:41,69.3,139.9,-4.95,98,100,0.11
272,Honningsvag,NO,2021-04-01 14:18:42,70.9821,25.9704,34.79,82,100,8.61
273,Huarmey,PE,2021-04-01 14:18:42,-10.0681,-78.1522,71.28,82,98,5.77
274,Paulba,PH,2021-04-01 14:18:42,13.7136,123.2496,73.98,84,100,5.53
275,Oranjemund,NA,2021-04-01 14:18:42,-28.55,16.4333,67.71,68,0,18.25
276,Maloyaroslavets,RU,2021-04-01 14:18:43,55.0146,36.4719,48.2,87,90,6.71
277,Cheney,US,2021-04-01 14:17:35,47.4874,-117.5758,39.99,74,1,3.44
278,Yangjiang,CN,2021-04-01 14:18:43,21.85,111.9667,75.0,92,26,4.9
279,Tyukhtet,RU,2021-04-01 14:18:43,56.5389,89.3011,27.27,80,100,13.24
280,Surt,LY,2021-04-01 14:18:44,31.2089,16.5887,63.57,51,0,9.42
281,Palmares Do Sul,BR,2021-04-01 14:18:44,-30.2578,-50.5097,74.25,53,65,1.21
282,Wuning,CN,2021-04-01 14:18:44,29.2589,120.2311,66.67,97,49,3.76
283,Mackay,AU,2021-04-01 14:15:25,-21.15,149.2,72.0,73,29,9.22
284,Thanh Hoa,VN,2021-04-01 14:18:45,19.8,105.7667,75.7,92,27,3.71
285,Tateyama,JP,2021-04-01 14:18:45,34.9833,139.8667,57.99,77,95,3.0
286,Shelburne,CA,2021-04-01 14:18:45,44.0787,-80.2041,28.0,82,100,18.57
287,Taoudenni,ML,2021-04-01 14:18:46,22.6783,-3.9836,101.95,4,53,10.83
288,Kuytun,RU,2021-04-01 14:18:46,54.3419,101.5036,16.18,95,95,4.72
289,Alihe,CN,2021-04-01 14:18:46,50.5667,123.7167,35.29,85,100,3.09
290,Olga,RU,2021-04-01 14:18:47,43.7444,135.2892,41.61,65,37,3.8
291,Dingle,PH,2021-04-01 14:18:47,10.9995,122.6711,76.55,80,100,8.59
292,Labuan,MY,2021-04-01 14:18:47,5.2767,115.2417,80.6,89,20,1.14
293,Shuangcheng,CN,2021-04-01 14:18:48,45.35,126.2833,41.0,70,0,2.24
