City_ID,City,Country,Lat,Lng,Max Temp,Current Description,Hotel Name
151,Saint-Philippe,RE,-21.3585,55.7679,77.0,clear sky,"Chambres d'hôte ""La Trinité"""
153,Road Town,VG,18.4167,-64.6167,82.4,scattered clouds,"ZINGARA 76ft Catamaran, full crew-all included"
154,Guatire,VE,10.4762,-66.5427,84.99,broken clouds,Parque Residencial Canaima I
155,Haapiti,PF,-17.5667,-149.8667,82.4,light rain,Linareva Moorea Beach Resort
158,Trincomalee,LK,8.5711,81.2335,79.12,broken clouds,Welcombe Hotel
178,Puerto Cabezas,NI,14.0351,-83.3888,86.0,broken clouds,Cabaña Caribe
180,Barra Patuca,HN,15.8,-84.2833,79.54,clear sky,
187,Avarua,CK,-21.2078,-159.775,84.2,few clouds,Paradise Inn
189,Kieta,PG,-6.2167,155.6333,80.51,overcast clouds,Uruna Bay Retreat
191,Ormara,PK,25.2088,64.6357,80.11,clear sky,Crystal Beach and Camping Resort Ormara
196,Aguadilla,PR,18.4275,-67.1541,82.0,scattered clouds,WSSM Surf House
199,Lorengau,PG,-2.0226,147.2712,80.02,overcast clouds,Lorengau Harbourside Hotel
200,Mlonggo,ID,-6.5333,110.7,80.91,overcast clouds,Asia Metal Art
203,Sao Bento,BR,-6.2833,-37.75,80.6,light rain,
205,Maldonado,UY,-34.6667,-54.9167,75.0,few clouds,La Cimarrona
